"","word","twitter_zipf","youtube_zipf","wordlex_blog_zipf","twitter_youtube_zipf_avg","lm_preds_blog_YT"
"1","करतील",3.31027726833628,2.62929203510564,3.82902033618926,2.96978465172096,3.32460276713901
"2","व्यर्थता",1.62633013758477,2.02723204377768,3.17580782241391,1.82678109068122,2.6745252501652
"3","तरीसुद्धा",2.13148011590468,1.7262020481137,3.32193585809215,1.92884108200919,2.73257135606227
"4","विशेषता",3.54067329470421,3.59835832086199,4.21323432035454,3.5695158077831,3.66569684074807
"5","मृदुल",2.79364747233295,2.53911540475655,3.65292907713358,2.66638143854475,3.15204371816802
"6","असावं",2.85677905896305,1.90229330716938,4.03314031884518,2.37953618306621,2.98890192421982
"7","तरफ़",4.58680091511907,4.0963448951648,4.6135583852343,4.34157290514193,4.10480042530426
"8","परिधि",3.05121177421584,2.981474553217,3.93923581597685,3.01634316371642,3.35108268627808
"9","घालायला",2.51282086275725,1.7262020481137,3.59078117038473,2.11951145543548,2.84101417036521
"10","पीली",3.46391857582028,3.46656473760794,4.16257955668016,3.46524165671411,3.60639144265305
"11","शुरू",5.46925125834476,5.33654275956585,5.6066887688668,5.4028970089553,4.70842316247564
"12","पतोहिया",0.927360133248754,1.7262020481137,3.02090586242817,1.32678109068122,2.39015276912827
"13","पायाला",2.08872813548373,1.7262020481137,3.45456142336674,1.90746509179871,2.72041386932073
"14","राहीले",2.04130348555559,2.12414205678573,3.97514837186749,2.08272277117066,2.82009079152828
"15","क्षीण",2.99554599499492,2.80538329416132,4.06229854758639,2.90046464457812,3.28517736230559
"16","मसले",3.77431545826858,3.66321815557851,4.25859319273036,3.71876680692354,3.75058259459368
"17","राहिल्या",2.26978281407096,1.7262020481137,3.53753565843151,1.99799243109233,2.77190083747392
"18","नशिबावर",0.927360133248754,1.7262020481137,3.07889780940586,1.32678109068122,2.39015276912827
"19","गोपालराम",0.927360133248754,1.7262020481137,3.07889780940586,1.32678109068122,2.39015276912827
"20","दोघी",1.85677905896305,1.7262020481137,3.77786781374188,1.79149055353837,2.65445393495632
"21","विसंगतियों",2.93382617549799,2.50435329849734,3.6943217622918,2.71908973699766,3.1820212973726
"22","नैनो",3.3226865263181,3.09726991038543,4.10008710847579,3.20997821835177,3.46121164808282
"23","जायची",2.69078812681169,1.7262020481137,4.07343491370435,2.20849508746269,2.89162316278773
"24","जिज्ञासाएं",1.32530014192079,1.90229330716938,3.13005033185324,1.61379672454508,2.55339146492478
"25","स्थिती",3.5766949919609,3.60414899974288,4.22502584508409,3.59042199585189,3.67758712988836
"26","पाहुन",2.46517922832203,2.02723204377768,4.00831673512015,2.24620563604985,2.91307084731371
"27","ह्याची",2.82772726190522,2.37941456188904,4.32193585809215,2.60357091189713,3.11632054757198
